language,eligible_lemmas,basic_lemmas,broader_lemmas,best_layer,best_pc_pair,searched_disparity,global_search_corrected_p,best_pc1_pc2_layer,pc1_pc2_disparity,global_pc1_pc2_layer_corrected_p,pc1_pc2_broader_variance_fraction,searched_broader_variance_fraction,searched_enrichment_over_isotropic_random,broader_effective_dimension,searched_ring_rmse,searched_angular_coverage
ro,98,27,71,4,PC2+PC4,0.22540016545650765,0.1191761647670466,18,0.2718910754662911,0.011597680463907219,0.07256669390595374,0.019231135367680084,24.61585327063051,45.4394685998154,0.5247432144079225,0.4664159263334894
en,503,33,470,32,PC1+PC3,0.23636184102141933,0.12297540491901619,18,0.452013253408307,0.10197960407918416,0.03953139066097838,0.031481571332812756,40.2964113060003,52.60277504826646,0.39178101031931056,0.2942843542546105
es,251,23,228,31,PC1+PC2,0.21112247072863732,0.09838032393521295,31,0.2111224707286371,0.0023995200959808036,0.050176914490186894,0.05017691449018688,64.22645054743921,52.03669800046974,0.43656353457887065,0.5708345656574731
